U.S. Product Supplied of Finished Motor Gasoline
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MGFUPUS2&f=A
18:25:20 GMT-0400 (Eastern Daylight Time)
Data source: U.S. Energy Information Administration
Year,U.S. Product Supplied of Finished Motor Gasoline Thousand Barrels per Day
2022,8777
2021,8816
2020,8049
2019,9309
2018,9329
2017,9327
2016,9317
2015,9178
2014,8921
2013,8843
2012,8682
2011,8753
2010,8993
2009,8997
2008,8989
2007,9286
2006,9253
2005,9159
2004,9105
2003,8935
2002,8848
2001,8610
2000,8472
1999,8431
1998,8253
1997,8017
1996,7891
1995,7789
1994,7601
1993,7476
1992,7268
1991,7188
1990,7235
1989,7328
1988,7336
1987,7206
1986,7034
1985,6831
1984,6693
1983,6622
1982,6539
1981,6588
1980,6579
1979,7034
1978,7412
1977,7177
1976,6978
1975,6675
1974,6537
1973,6674
1972,6376
1971,6014
1970,5785
1969,5526
1968,5261
1967,4958
1966,4808
1965,4593
1964,4403
1963,4334
1962,4199
1961,4043
1960,3969
1959,3860
1958,3711
1957,3615
1956,3548
1955,3463
1954,3194
1953,3110
1952,2954
1951,2985
1950,2616
1949,2410
1948,2280
1947,2119
1946,1979
1945,1587
