fuel_type_code,station_name,street_address,intersection_directions,city,state,zip,plus4,station_phone,status_code,expected_date,groups_with_access_code,access_days_time,cards_accepted,bd_blends,ng_fill_type_code,ng_psi,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,ev_other_info,ev_network,ev_network_web,geocode_status,latitude,longitude,date_last_confirmed,id,location
CNG,Alagasco Tuscaloosa Operations Center,5220 Metro Park Dr,,Tuscaloosa,AL,35405,,,E,,Private access only,,,,B,3600,,,,,,,200-8,33.161768,-87.55676,2011-08-31,14,POINT(-87.55676 33.161768)
CNG,Alagasco Montgomery Operations Center,2951 Chestnut St,,Montgomery,AL,36107,,,E,,Private access only,,,,B,3600,,,,,,,200-8,32.3671634,-86.2673957,2011-08-31,17,POINT(-86.2673957 32.3671634)
CNG,Fort Gordon,105th Ave,Building 61300,Fort Gordon,GA,30905,,,E,,Private - government only,,,,,,,,,,,,200-6,33.4134459,-82.1760442,2011-10-31,25,POINT(-82.1760442 33.4134459)
CNG,Clayton County Fleet Maintenace,1348 Government Cir,I-75 south of Atlanta to State Route 138,Jonesboro,GA,30236,5907,,E,,Private - government only,,,,Q,3000,,,,,,,200-8,33.5357245,-84.3468952,2011-06-30,40,POINT(-84.3468952 33.5357245)
CNG,Clean Energy - PS Energy - UFO,340 Whitehall St SW,"From I-7585 N, exit 91 to Central Avenue, left on Memorial, left on Whitehall, station on left",Atlanta,GA,30303,3718,404-321-5711,E,,Private - fleet customers only,Contact Andrea Whisenhunt at 404-321-5711 for access; Comdata also accepted,FuelMan Voyager Wright_Exp,,Q,3000,,,,,,,200-8,33.7454738,-84.4000209,2011-06-30,42,POINT(-84.4000209 33.7454738)
CNG,Metropolitan Atlanta Rapid Transit Authority,2424 Piedmont Rd NE,,Atlanta,GA,30324,3330,404-848-5557,E,,Private - government only,,,,Q,3000,,,,,,,200-8,33.8236796,-84.3691579,2011-06-30,45,POINT(-84.3691579 33.8236796)
CNG,City of Macon Transportation Center,1122 7th St,,Macon,GA,31206,1028,478-751-9106,E,,Private - fleet customers only,,,,Q,3600,,,,,,,200-8,32.8234272,-83.6279255,2011-06-30,54,POINT(-83.6279255 32.8234272)
CNG,University of Georgia,205 Riverbend Rd,,Athens,GA,30602,4695,,E,,Private access only,,,,B,3000,,,,,,,200-8,33.9294993,-83.3674071,2011-06-30,59,POINT(-83.3674071 33.9294993)
CNG,United Parcel Service - Atlanta,270 Marvin Miller Dr,,Atlanta,GA,30336,,,E,,Private - fleet customers only,,,,Q,3000,,,,,,,200-8,33.758746,-84.539863,2011-06-30,64,POINT(-84.539863 33.758746)
CNG,Clean Energy - Texas Department of Transportation,7721A Washington Ave,"I-10, Washington Avenue exit, 1.5 blocks to station on left",Houston,TX,77007,1037,866-278-3674,E,,Public - credit card at all times,24 hours daily,M V Voyager CleanEnergy Wright_Exp,,Q,3000,,,,,,,200-8,29.779156,-95.433938,2011-06-30,72,POINT(-95.433938 29.779156)
CNG,Arkansas Oklahoma Gas Corp,2100 S Waldron Rd,,Fort Smith,AR,72901,,479-783-3181,E,,Public - credit card at all times,24 hours daily,M V Wright_Exp,,B,3000 3600,,,,,,,200-8,35.362856,-94.3728833,2011-08-31,73,POINT(-94.3728833 35.362856)
CNG,Alternative Vehicle Service Group - Logan International Airport,81 N Service Rd,"From Route 1, take the first exit after Callahan Tunnel",East Boston,MA,2128,2026,617-242-8755,E,,Public - card key at all times,24 hours daily,Wright_Exp PHH,,Q,3000 3600,,,,,,,200-8,42.3705924,-71.0258268,2011-03-31,81,POINT(-71.0258268 42.3705924)
CNG,Clean Energy - National Grid West Roxbury,201 Rivermoor St,,West Roxbury,MA,2132,,800-233-5325,E,,Public - credit card at all times,24 hours daily,"D M V Wright_Exp, CleanEnergy",,Q,3000 3600,,,,,,,200-8,42.2788899,-71.180333,2011-06-30,83,POINT(-71.180333 42.2788899)
CNG,Clean Energy - National Grid Everett,14 Rover St,"Route 16, exit to Route 99, to Dexter Street to Rover. Or Route 99 to Robin Street, to Rover Street",Everett,MA,2149,5514,800-233-5325,E,,Public - credit card at all times,24 hours daily; debit cards not accepted,M V Wright_Exp PHH,,Q,3000 3600,,,,,,,200-8,42.393191,-71.0643939,2011-06-30,84,POINT(-71.0643939 42.393191)
CNG,Maryland Department of General Services,301 W Preston St,,Baltimore,MD,21201,,,E,,Private - government only,,,,Q,3000,,,,,,,200-8,39.301951,-76.622804,2011-09-30,94,POINT(-76.622804 39.301951)
CNG,Baltimore Washington International Airport - Maryland Department of General Services,131 Aaronson Dr,,Baltimore,MD,21240,755,,E,,Private - government only,,,,Q,3000,,,,,,,200-5,39.1769806,-76.6701475,2011-09-30,97,POINT(-76.6701475 39.1769806)
CNG,Clean Energy - National Grid Staten Island Service Center,200 Gulf Ave,"From I-278, exit onto Gulf Avenue S, station on left. Or from Staten Island Expressway, exit to Western Avenue S and left onto Gulf Avenue, station on right",Staten Island,NY,10303,1439,718-982-7354,E,,Public - credit card at all times,24 hours daily,D M V Voyager Wright_Exp CleanEnergy,,Q,3000 3600,,,,,,,200-8,40.624892,-74.179,2011-06-30,103,POINT(-74.179 40.624892)
CNG,National Grid - Port Authority of New York and New Jersey,John F Kennedy Airport,"I-678 or Belt Parkway or Van Wyck Expressway to Airport, follow signs",Queens,NY,11201,,718-963-5495,E,,Public - card key at all times,24 hours daily; contact station to arrange for card key,,,Q,3000 3600,,,,,,,GPS,40.645397,-73.786717,2011-11-30,106,POINT(-73.786717 40.645397)
CNG,Clean Energy - National Grid Greenpoint Energy Center,287 Maspeth Ave,"I-278/Brooklyn Queens Expressway, exit onto Vandervoort Avenue S, left onto Maspeth Avenue, station is on the left",Brooklyn,NY,11211,1788,718-963-5495,E,,Public - credit card at all times,24 hours daily,D M V Voyager Wright_Exp CleanEnergy,,Q,3000 3600,,,,,,,200-8,40.7180699,-73.9315168,2011-06-30,108,POINT(-73.9315168 40.7180699)
CNG,Clean Energy - National Grid Canarsie Service Center,8424 Ditmas Ave,"From Shore Parkway, take Rockaway Parkway N, left onto Ditmas Avenue, station on the left",Brooklyn,NY,11236,1599,718-270-5866,E,,Public - credit card at all times,24 hours daily,D M V Voyager Wright_Exp CleanEnergy,,B,3000 3600,,,,,,,200-8,40.645196,-73.917927,2011-06-30,112,POINT(-73.917927 40.645196)
CNG,City of Corpus Christi Gas Department,4225 S Port Ave,,Corpus Christi,TX,78415,5311,361-885-6910,E,,Public - see hours,8am-5pm M-F,Cash Checks A D M V,,Q,2400 3000,,,,,,,200-8,27.750055,-97.421115,2011-10-31,118,POINT(-97.421115 27.750055)
CNG,Con Edison - West 29th Street Service Center,W 29th St & 12th Ave,In Manhattan,New York,NY,10001,,212-643-3054,E,,Public - card key at all times,24 hours daily; call 718-204-4048 to arrange for card key,,,Q,3000,,,,,,,GPS,40.75385,-74.007259,2011-02-28,124,POINT(-74.007259 40.75385)
CNG,Con Edison - East 16th Street Service Center,700 E 16th St,"In Manhattan at Avenue C and E 16th. Broadway: Turn east onto 14th Street, left onto 1st Avenue at 16th Street intersection",New York,NY,10003,7004,212-460-6708,E,,Public - card key at all times,24 hours daily; call 718-204-4048 to arrange for card key,,,Q,3000,,,,,,,200-8,40.7297044,-73.9746877,2011-02-28,125,POINT(-73.9746877 40.7297044)
CNG,Con Edison - Van Nest Service Center,1615 Bronxdale Ave,"Hutchinson River Parkway, exit onto E Tremont Avenue W, right onto Bronxdale Avenue, station on the left. From I-95, take Castle Hill Avenue exit north to E Tremont and Bronx",Bronx,NY,10462,3301,718-904-4504,E,,Public - card key at all times,"8am-6pm M-F, call 718-204-4048 to arrange for card key",,,Q,3000,,,,,,,200-8,40.8437,-73.857686,2011-02-28,129,POINT(-73.857686 40.8437)
CNG,Con Edison - Rye Service Center,178 Theodore Fremd Ave,"I-95/New England Thruway, exit 19 onto Playland Parkway Service Road going south, left onto Theo Fremd, station on left",Rye,NY,10580,2896,914-933-2910,E,,Public - card key at all times,24 hours daily; call 718-204-4048 to arrange for card key,,,Q,3000,,,,,,,200-8,40.9793046,-73.6916728,2011-02-28,130,POINT(-73.6916728 40.9793046)
CNG,Clean Energy - New York State Department of Transportation,1 Dana Rd,"Route 9A & Dana Rd; Route 87 to Exit 8 (Route 287 east), take Exit 2 to Route 9A (north)",Valhalla,NY,10595,,866-278-3674  914-592-6557,E,,Public - card key at all times,24 hours daily; call 781-685-2912 for Clean Energy card,CleanEnergy,,Q,3000 3600,,,,,,,200-8,41.0823173,-73.8133384,2011-06-30,131,POINT(-73.8133384 41.0823173)
CNG,Con Edison - College Point Service Center,124-15 31st Ave,"From I-678/Whitestone Expressway, exit at Linden Place, I-678 service road W, right onto 31st Avenue, station at intersection with College Point Boulevard",Queens,NY,11354,,718-321-4608,E,,Public - card key at all times,"7am-11pm M-F, 7am-3pm Sat-Sun; call 718-204-4048 to arrange for card key",,,Q,3000,,,,,,,200-8,40.767802,-73.845956,2011-02-28,132,POINT(-73.845956 40.767802)
CNG,City of Enumclaw,2041 Railroad St,,Enumclaw,WA,98022,3500,,E,,Private access only,,,,Q,2400 3000,,,,,,,200-8,47.2063745,-121.9855027,2011-01-31,134,POINT(-121.9855027 47.2063745)
CNG,Clean Energy - National Grid Cape Cod,127 Whites Path,"US-6, exit 8, Station Avenue and turn left onto Whites Path",South Yarmouth,MA,2664,1228,800-233-5325,E,,Public - credit card at all times,24 hours daily; debit cards not accepted,M V Wright_Exp PHH,,Q,3000 3600,,,,,,,200-8,41.688787,-70.201253,2011-06-30,139,POINT(-70.201253 41.688787)
CNG,Florida City Gas,4180 US Highway 1 S,,Rockledge,FL,32955,5309,,P,2012-03-15,PLANNED - not yet accessible,,,,Q,3000,,,,,,,200-8,28.2907321,-80.6985901,2011-06-30,140,POINT(-80.6985901 28.2907321)
CNG,Lanesdale Facility - Citizens Energy Group,2150 Dr Martin Luther King Jr St,,Indianapolis,IN,46202,,317-927-6000,E,,Public - card key at all times,24 hours daily; contact Mark Ryan at 317-927-4661 to arrange for card key,,,B,3000 3600,,,,,,,200-8,39.797769,-86.173036,2011-05-31,146,POINT(-86.173036 39.797769)
