FSA,BEV,PHEV,TotalEV
K0A,622,306,928
K0B,66,52,118
K0C,142,92,234
K0E,97,65,162
K0G,176,96,272
K0H,171,112,283
K0J,67,59,126
K0K,344,195,539
K0L,190,104,294
K0M,125,50,175
K1A,23,54,77
K1B,63,47,110
K1C,158,131,289
K1E,49,27,76
K1G,116,102,218
K1H,97,83,180
K1J,122,98,220
K1K,118,93,211
K1L,37,47,84
K1M,67,53,120
K1N,78,63,141
K1P,18,14,32
K1R,63,34,97
K1S,251,188,439
K1T,171,85,256
K1V,229,168,397
K1W,97,44,141
K1X,42,7,49
K1Y,171,87,258
K1Z,107,64,171
K2A,168,75,243
K2B,90,75,165
K2C,120,75,195
K2E,93,54,147
K2G,234,128,362
K2H,127,90,217
K2J,430,214,644
K2K,194,104,298
K2L,66,50,116
K2M,186,104,290
K2P,75,37,112
K2R,15,9,24
K2S,285,144,429
K2T,93,45,138
K2V,95,34,129
K2W,88,27,115
K4A,304,171,475
K4B,35,25,60
K4C,54,20,74
K4K,112,53,165
K4M,204,63,267
K4P,107,43,150
K4R,43,34,77
K5M,1,,1
K6A,40,24,64
K6H,59,43,102
K6J,21,21,42
K6K,4,3,7
K6T,2,,2
K6V,54,46,100
K7A,30,19,49
K7C,82,42,124
K7G,26,13,39
K7H,74,46,120
K7K,101,57,158
K7L,136,95,231
K7M,158,106,264
K7N,22,12,34
K7P,115,52,167
K7R,34,20,54
K7S,45,14,59
K7V,26,14,40
K8A,36,28,64
K8H,42,34,76
K8J,1,,1
K8K,,1,1
K8N,80,49,129
K8P,29,33,62
K8R,9,6,15
K8V,65,53,118
K9A,105,70,175
K9H,63,48,111
K9J,120,80,200
K9K,50,22,72
K9L,26,19,45
K9V,50,25,75
L0A,90,33,123
L0B,75,39,114
L0C,48,16,64
L0E,63,39,102
L0G,318,90,408
L0H,10,6,16
L0J,82,15,97
L0K,163,63,226
L0L,287,87,374
L0M,161,53,214
L0N,15,6,21
L0P,121,28,149
L0R,482,233,715
L0S,366,193,559
L0T,1,,1
L1A,58,33,91
L1B,56,30,86
L1C,226,90,316
L1E,103,51,154
L1G,99,60,159
L1H,132,43,175
L1J,101,61,162
L1K,209,70,279
L1L,108,28,136
L1M,148,56,204
L1N,242,117,359
L1P,196,61,257
L1R,233,67,300
L1S,227,92,319
L1T,309,91,400
L1V,331,111,442
L1W,112,39,151
L1X,185,45,230
L1Y,27,11,38
L1Z,241,93,334
L2A,51,27,78
L2E,42,25,67
L2G,96,52,148
L2H,127,57,184
L2J,51,22,73
L2M,54,43,97
L2N,119,63,182
L2P,45,20,65
L2R,114,124,238
L2S,71,43,114
L2T,35,20,55
L2V,77,21,98
L2W,10,4,14
L2Y,,1,1
L3A,1,,1
L3B,66,26,92
L3C,85,48,133
L3E,1,,1
L3J,31,30,61
L3K,44,24,68
L3L,7,,7
L3M,232,128,360
L3N,1,,1
L3P,334,111,445
L3R,722,212,934
L3S,289,78,367
L3T,446,142,588
L3V,143,87,230
L3X,442,130,572
L3Y,262,144,406
L3Z,317,77,394
L4A,594,165,759
L4B,675,161,836
L4C,682,188,870
L4E,692,188,880
L4G,738,232,970
L4H,804,175,979
L4J,642,196,838
L4K,361,79,440
L4L,394,100,494
L4M,198,77,275
L4N,480,153,633
L4P,155,58,213
L4R,47,23,70
L4S,440,129,569
L4T,99,40,139
L4V,34,13,47
L4W,290,91,381
L4X,64,16,80
L4Y,106,44,150
L4Z,201,88,289
L5A,109,33,142
L5B,279,121,400
L5C,170,63,233
L5E,83,29,112
L5G,210,90,300
L5H,281,84,365
L5J,191,82,273
L5K,95,34,129
L5L,300,118,418
L5M,816,234,1050
L5N,484,183,667
L5P,3,8,11
L5R,275,82,357
L5S,49,10,59
L5T,77,24,101
L5V,318,78,396
L5W,226,44,270
L5X,1,,1
L6A,847,172,1019
L6B,440,76,516
L6C,899,230,1129
L6E,374,106,480
L6G,79,20,99
L6H,936,342,1278
L6J,500,185,685
L6K,183,115,298
L6L,456,151,607
L6M,934,293,1227
L6N,1,,1
L6P,828,135,963
L6R,483,117,600
L6S,193,96,289
L6T,134,98,232
L6V,132,54,186
L6W,97,40,137
L6X,477,107,584
L6Y,668,146,814
L6Z,137,63,200
L7A,557,152,709
L7B,356,66,422
L7C,466,109,575
L7E,280,87,367
L7G,369,152,521
L7H,2,,2
L7J,93,43,136
L7K,92,24,116
L7L,425,207,632
L7M,473,190,663
L7N,131,56,187
L7P,245,108,353
L7R,144,97,241
L7S,69,44,113
L7T,142,76,218
L8B,208,90,298
L8E,236,107,343
L8G,92,39,131
L8H,48,31,79
L8J,167,63,230
L8K,65,51,116
L8L,60,31,91
L8M,31,33,64
L8N,39,22,61
L8P,81,76,157
L8R,24,15,39
L8S,51,35,86
L8T,38,31,69
L8V,29,31,60
L8W,84,40,124
L9A,77,37,114
L9B,105,67,172
L9C,154,94,248
L9E,242,33,275
L9G,241,122,363
L9H,268,159,427
L9J,26,5,31
L9K,191,58,249
L9L,79,26,105
L9M,45,28,73
L9N,259,62,321
L9P,120,66,186
L9R,131,39,170
L9S,226,68,294
L9T,872,251,1123
L9V,77,43,120
L9W,276,114,390
L9X,113,39,152
L9Y,186,78,264
L9Z,91,37,128
M1B,232,117,349
M1C,240,82,322
M1E,121,72,193
M1G,51,25,76
M1H,86,36,122
M1J,56,21,77
M1K,74,29,103
M1L,79,32,111
